Full Name
"Judith A Aberg, MD"
"Bernard A Silverman, MD"
"Jeffrey M Weinberg, MD"
"Krishnasamy Soundararajan, MD"
"Javed Suleman, MD"
"Wesley L Davison, MD"
"Peter Gontzes, MD"
"Ramez Habib, MD"
"Harry Pantelides, MD"
"Misu Paul, MD"
"Christopher S Song, MD"
"Edward Bennett, MD"
"Integrated Network, Emblem (HIP Medicaid) Clinical Integrated "
"Leslie G Bennett, MD"
"David M Pinter, MD"
"Babu Jasty, MD"
"Buddhadev Manvar, MD"
"Integrated Network, Empire (Commercial/Medicare) Clinical Integrated "
"Joshua N Shatzkes, MD"
"Marwan Atallah, MD"
"William M Atallah, MD"
"Maurizio Buscarini, MD"
"Robert F Calciano, MD"
"Michael Giasullo, MD"
"Vinayak G Wagaskar, MD"
"Osama Zaytoun, MD"
"Virgil Hatcher, MD"
"Mahendranauth Sohan, MD"
"Jeffrey M Weinberg, MD"
"Sanghyun A Kim, MD"
"Margot Chima, MD"
"Robert L Finney, MD"
"Ernest L Isaacson, DPM"
"Hasan Khosravi, MD"
"Andrea N Persaud, MD"
"Lauren Strazzulla, MD"
"Chandana Attoti, MD"
"Michelle Diaz, DPM"
"(914) 515-3678    |    2391 Arthur Avenue, Bronx, NY 10458    |     9.36 miles"
"Amit S Kalra, DPM"
"Prakash Krishnan, MD"
"Brian K Levy, DPM"
"Thakor C Rana, MD"
"Carl Guillaume, MD"
"Sung Y Kim, MD"
"Akiva Bergman, MD"
"Louis Emmer, MD"
"Ume Farwa, MD"
"Saam A Miller, MD"
"Sunil A Patel, MD"
"Mahendranauth Sohan, MD"
"Rupa L Iyengar-Kapuganti, MD"
"Georgios Syros, MD"
"Ethan Abbott, DO"
"Dalia Abdel Azim, MD"
"Nabil N Abdelmalak, MD"
"Jessica Ables, MD"
"Gallane D Abraham, MD"
"Alan A Adler, MD"
"Samuel K Agyare, MD"
Clinical Integrated Network
"Danish A Ahmad, MD"
"Saadia Akhtar, MD"
"Robert Aldoroty, MD"
"Melissa A Alexander, MD"
"Ayesha Ali, MD"
"Maurice Alwaya, MD"
"(718) 252-4354    |    3131 Kings Highway, Ste D2, Brooklyn, NY 11234    |     9.74 miles"
"James J Andersen, MD"
"David Anderson, MD"
"Mark C Andreae, MD"
"Donald Apakama, MD"
"Suzanne A Arinsburg, MD"
"Jesse J Astwood, MD"
"Marwan Atallah, MD"
"William M Atallah, MD"
"Haytham Atileh, MD"
"Kyrollis Attalla, MD"
"Bella K Avanessian, MD"
"Nita G Avrith, MD"
"Hae Young Baang, MD"
"Alina Babar, MD"
"Ketan K Badani, MD"
"Matthew Y Bai, MD"
"Ian Baine, MD"
"Maryam Bakhshandeh, MD"
"Melissa Baldwin, MD"
"Tara Balija, MD"
"Serge Balmir, DO"
"Integrated Network, Emblem (HIP Medicaid) Clinical Integrated "
"Theodore Bania, MD"
"Barbara J Barnett, MD"
"John Barrett, MD"
"Christin J Barry, MD"
"Brett Baskovich, MD"
"Amanda Bates, MD"
Clinically Integrated Network Member
"Mary B Beasley, MD"
"Jennifer Beck-Esmay, MD"
"Adam Belachew, MD"
"Jacob D Bell, MD"
"Scott J Belsley, MD"
"David Ben-Eli, MD"
"Alan I Benvenisty, MD"
"Alejandro Berenstein, MD"
"Michael H Berger, MD"
"Saumya Bhutani, MD"
"Saadiyah Bilal, MD"
"Kara Bloomgarden, MD"
"Erik Blutinger, MD"
"William A Bonadio, MD"
"Irene R Boniece, MD"
"Morgan S Bowling, DO"
"Arianne Boylan, MD"
"Lisa L Brailey, MD"
"Margaret S Brandwein-Weber, MD"
"Adam R Brenner, MD"
"Cara Brown, MD"
"Katarzyna A Brzezinska, MD"
"Cynthia Bui, MD"
"Alexander Bulanov, DO"
"Caroline W Burmon, MD"
"Angie E Buttigieg, MD"
"Phyllis A Caces, MD"
"John D Cahill, MD"
"Robert F Calciano, MD"
"Yvette Calderon, MD"
"Christopher Caravanos, MD"
"Patricia Carey, MD"
"Brendan Carr, MD"
"Moira Carroll, MD"
"Fernanda Carvalho Poyraz, MD"
"Sarah P Cate, MD"
"David J Chafiian, MD"
"Haamid Chamdawala, MD"
"Cheryl Chang, MD"
"Jenny F Chang, MD"
"Michael Chang, MD"
"Alexander Charney, MD"
"Daniel E Charnoff, MD"
"Kevin Chason, DO"
"Ahmed Chaudhry, DO"
"David B Chessin, MD"
"Edward Chin, MD"
"Makini Chisolm-Straker, MD"
"Jason N Chiu, MD"
"Michael Choi, MD"
"Sung Yoon Choo, MD"
"Aparna Chopra, MBBS"
"Lawremce Chow, MD"
"Daniel Chung, MD"
"Wendy Chung, MD"
"Mateusz K Ciejka, MD"
"Brian A Coakley, MD"
"Richard D Cofsky, MD"
"Noah Cohen, MD"
"Samantha Cohen, MD"
"Frank S Coletta, MD"
"Victoria E Collins, MD"
"Brendan D Connell, MD"
"William A Cook, MD"
"(718) 252-3000    |    3131 Kings Highway, Suite 1-02, Brooklyn, NY 11234    |     9.74 miles"
"James Cornwall, MD"
"Juan Camilo Correa-Gallego, MD"
"Ethan A Cowan, MD"
"John F Crary, MD"
"Catrina Cropano, MD"
"Giselle Cruz, MD"
"Karina Cymes, MD"
"Uma Damle, MD"
"Neha Dangayach, MD"
"Celeenamma B Daniel, MD"
"Joseph Dario, MD"
"Mohamed Darwish, MD"
"Morgan P Dauer, MD"
"Reade A De Leacy, MD"
"Jonathan DeAssis, MD"
"Anthony DeVivo, DO"
"Martyna DeVries, MD"
"Deborah N Dean, MD"
"Aleksandra Degtyar, MD"
"Fumiko Dekio, MD"
"Joseph Deluca, PhD"
"Francine R Dembitzer, MD"
"Kim Derespina, MD"
"Nikita Desai, MD"
"Jason A Deutsch, MD"
"Sean A Dhanraj, MD"
"Carl Dickler, MD"
"Celia Divino, MD"
"Michael Dudkiewicz, MD"
"Amy S Duffield, MD"
"Alina Dulau Florea, MD"
"Jamie Edelstein, MD"
"Eric D Edwards, MD"
"Patrick Eiben, MD"
"Nicole Eiden, MD"
"Erick A Eiting, MD"
"Mohamed Elfatihi, MD"
"Junona Elgudin, MD"
"Melto J Eliades, MD"
"Raymonde E Ernest-Jean, MD"
"Ugo A Ezenkwele, MD"
"Michael J Falk, MD"
"Jun Fan, MD"
"Wen Fan, MD"
"Hassan Farhat, MD"
"Samir A Farhat, MD"
"Peter L Faries, MD"
"Shara J Feldman, PhD"
"David Fernandez, MD"
"Gregory Fernandez, MD"
"Gustavo G Fernandez Ranvier, MD"
"Anusha R Fernando, MD"
"Maria I Fiel, MD"
"(718) 252-3000    |    3201 Kings Highway, Brooklyn, NY 11234    |     9.74 miles"
"Johanna T Fifi, MD"
"Alexander Filatov, MD"
"Jason Filopei, MD"
"John L Foggle, MD"
"John T Fox, MD"
"Anna-Marie Francis, MD"
"Timothy M Friedman, MD"
"Jennifer Y Fung, MD"
"Gregory M Gale, MD"
"Marian L Gambrell, MD"
"Nipa D Gandhi, MD"
"Sandeep Gangadharan, MD"
"Weiyi Gao, MD"
"Sylvia Garcia, MD"
"Nicholas Gavin, MD"
"Michael Giasullo, MD"
"Jaskirat K Gill, MD"
"Jennifer K Gillen, MD"
"Pedro Giron, MD"
Clinically Integrated Network Member
"Melissa R Gitman, MD"
"Jeffrey A Glassberg, MD"
"Wigbert S Godoy, MD"
"Jacob K Goertz, MD"
"Armin Gollogly, MD"
"Dania A Goodin, MD"
"Rostislav Gorbatov, MD"
"Michael Graber, MD"
"Alexander J Greenstein, MD"
"Jonathan Grenadir, MD"
"Robert J Grossi, MD"
"Duncan H Grossman, DO"
"Milton Grunzweig, MD"
"Ganesh Gunasekaran, MD"
"Hailey S Gupta, MD"
"Nishant K Gupta, MD"
"Gary Gwertzman, MD"
"Leah Habersham, MD, MBA"
"Sara Hadi, MD"
"Mehrvash Haghighi, MD"
"Christopher W Hahn, MD"
"Sue Hahn, MD"
"Ali Haidar, MD"
"Rozina F Haile, MD"
"George K Haines, MD"
"Ardeshir Hakami-Kermani, MD"
"(212) 241-2769    |    3131 Kings Highway, Suite A7, Brooklyn, NY 11234    |     9.74 miles"
"Thomas P Hansen, MD"
"Malini Harigopal, MD"
"Marco A Harmaty, MD"
"Noam Harpaz, MD"
"Martha Harrison, MD"
"Eugenius J Harvey, MD"
"Nabeeh Hauter, MD"
"Nicole C Hays, DO"
"Chen He, MD"
"Cyrus V Hedvat, MD"
"Tomas M Heimann, MD"
"Patricia Heller, MD"
"Gregory Henderson, MD"
"Kimberly Henderson, MD"
"(718) 252-3000    |    3201 Kings Highway, Brooklyn, NY 11234    |     9.74 miles"
"Peter W Henderson, MD"
"Aneury Hernandez, MD"
"Jordan Hernandez, MD"
"Daniel M Herron, MD"
"Valaine Hewitt, MD"
"Harvey Himel, MD"
"Spiros P Hiotis, MD"
"Robert Hoke, MD"
"Mark C Homonoff, MD"
"Elan L Horesh, MD, MPH"
"Rubayet Hossain, MD"
"Philip J Howard, MD"
"Ian Hsu, MD"
"Shu-Wei Hsu, MD"
"Kevin Hu, MD"
"Sam K Huh, MD"
"Barry L Huppert, MD"
"Sehba Husain-Krautter, MD, PhD"
"Syed A Hussain, MD"
"Shafinaz R Hussein, MD"
"Codrin Iacob, MD"
"Benedikt Ilyaguyev, DO"
"Mehrin Islam, MD"
"Adelle Iusim, MD"
"Anitha Iyer-Kothari, PhD"
"Jordan M Jacobs, MD"
"Sundar Jagannath, MD"
"Andy S Jagoda, MD"
"Logan Jardine, MD"
"Babu Jasty, MD"
"Waleed Javaid, MD"
"Cortlyn Jeter, MD"
"Malcolm Johnson, MD"
"Jose Miguel Juarez, MD"
"Jeffrey Julian, MD"
"Tamara L Kalir, MD"
"Arvind Kamthan, MD"
"Laly S Kaniyarathinkal, MD"
"Diana Kantor, MD"
"Yonatan B Kaplan, MD"
"Vishal Kapur, MD"
"(718) 758-7070    |    1977 Flatbush Avenue, Brooklyn, NY 11234    |     9.74 miles"
"Jennifer L Kartashevsky, RD"
"Rachel L Kassenoff, MD"
"Shubhi Kaushik, MD"
"Gabriela R Keeton, MD"
"Christopher P Kellner, MD"
"Kristen M Kelly, MD"
"Sergey Khaitov, MD"
"Rishi Khakhkha, MD, MBA"
"Nazneen Khalid, MD"
"Utsha Khatri, MD"
"Ratesh Khillan, MBBS"
"Amie M Kim, MD"
"Boram Kim, DO"
"John K Kim, MD"
"Sanghyun A Kim, MD"
"(718) 252-3000    |    3201 Kings Highway, Brooklyn, NY 11234    |     9.74 miles"
"Sung Y Kim, MD"
"Subhash U Kini, MD"
"Dana Klavansky, MD"
"Rebecca Klein, MD"
"Christopher Koenig, MD"
"Foula C Kontonicolas, MD"
"Adam Korayem, MD"
"Ninan Koshy, MD"
"Amanda J Krausert, MD"
"Joel M Krauss, MD"
"Merab Krikhely, MD"
"Christopher Kroppmann, MD"
"Daniel B Kurbanov, MD"
"Howard H Kurtz, MD"
"Susannah L Kurtz, MD"
"Zachary D Kuschner, MD"
"Alex J Ky-Miyasaka, MD"
"Cameron Kyle-Sidell, MD"
"Benjamin Laitman, MD"
"Austin S Lam, MD"
"Alexis P Langsfeld, MD"
"Michael D Lanigan, MD"
"John C Lantis, MD"
"Elyse B Lavine, MD"
"Cappi Lay, MD"
"Melissa Leber, MD"
"David S Lee, MD"
"Denise S Lee, MD"
"Le Min Lee, MD"
"Richard Lee, MD"
"Young I Lee, MD"
"Eric Legome, MD"
"Evan Leibner, MD"
"I. Michael Leitman, MD"
Clinically Integrated Network Member
"Kathleen A Leonard, MD"
"Quinn Leslie, MD"
"Stephan J Lestin, MD"
"Rachel J Levene, MD"
"Gabriel S Levi, MD"
"Jeffrey L Levine, MD"
"Stewart B Levine, MD"
"Olga Levochkina, MD"
"Boran Li, MD"
"Linda Li, MD"
"Wei J Li, MD"
"John W Liang, MD"
"Naomi A Liang, MD"
"Tian Z Liang, MD"
"Czer Anthoney E Lim, MD"
"Ateaya A Lima, MD"
"Yue Lin, MD"
"Michelle Liu, MD"
"Qingqing Liu, MD"
"Yuan Liu, MD"
"Yuxin Liu, MD"
"Yunyun A Lo, MD"
"Allison G Lockwood, MD"
"Jennifer Love, MD"
"Dan Lu, MD"
"Tianyi Lu, MD"
"Sanida Lukovic, MD"
"Patrick J Maher, MD"
"Khushbu Majmundar, MD"
"Eleni Maloutas, MD"
"Kimberly Mangla, MD"
"Sonali Mantoo, MD"
"Buddhadev Manvar, MD"
"Thomas E Maples, MD"
"Yonina Mar, MBBS"
"Konstantinos Margetis, MD"
"Michael L Marin, MD"
"Jennifer L Marti, MD"
"Krista Martinez, MD"
"Ilse Martinez Espina, MD"
"Judith E Mathieu, MD"
"James Maurer, MD"
"Alexander Mayer, DO"
"Daniel McConnell, MD"
"Sarah L McCuskee, MD"
"Jolion McGreevy, MD"
"Joshua O McHugh, MD"
"James F McKinsey, MD"
"Benjamin A McVane, MD"
"Michael N Megally, MD"
"Yohannes Melaku, MD"
"Parasuram Melarcode Krishnamoorthy, MD"
"Mani Menon, MD"
"Roland Merchant, MD"
"Peter S Midulla, MD"
"Mark Mikhly, MD"
"Bojana Milekic, MD"
"Ramon Millan, MD"
"Marc A Miller, MD"
"Jonathan Mishoe, MD"
"Tiffany Mitchell, MD"
"Avir Mitra, MD"
"J. D Mocco, MD"
"Jayaprakash J Modi, MD"
"Ippolito Modica, MD"
"Neal Moehrle, MD"
"Edwardine M Mohanraj, MD"
"David Mortel, MD"
"Zan Mra, MD"
"Meaghan E Mungekar, MD"
"Meagan Murphy, MD"
"Sara Murphy, MD"
"Abdulrahman Muzib, MD"
"Georges Naasan, MD"
"Arunabha Nandi, MD"
"Denise Nassisi, MD"
"Mansi M Nayak, MD"
"Marilyn T Nedumcheril, MD"
"Ka Ming G Ngai, MD"
"Scott Q Nguyen, MD"
"Thomas T Nguyen, MD"
"George Niedt, MD"
"Kusuma Nio, MD"
"Michael Nowak, MD"
"Jeranil Nunez, MD"
"Sussana Oad, MD"
"Shunpei Okochi, MD"
"Randall P Owen, MD"
"Thomas J Oxley, MD"
"Alberto Paniz-Mondolfi, MD"
"Koji Park, MD"
"Eliezer L Parnes, MD"
"Amish Patel, MD"
"Divya Patel, MD"
"Puja K Patel, MD"
"Vaishali R Patel, MD"
"Paru S Patrawalla, MD"
"John Paulsen, MD"
"Luca Pauselli, MD"
"Chandni K Pawar, MD"
"Bruce E Petersen, MD"
"John P Phair, MD"
Clinically Integrated Network Member
"Robert G Phelps, MD"
"Harrison Pidgeon, MD"
"Harinath Pillalamarri, MD"
"Sofya Pintova, MD"
"Matthew Pius, MD"
"Michael C Plietz, MD"
"Alexandros D Polydorides, MD"
Clinically Integrated Network Member
"Elisa R Port, MD"
"Trevor R Pour, MD"
"Arjun Prabhu, MD"
"Gabriel Prager, MD"
"Mohan Preet, MD"
"Dushyant P Purohit, MD"
"Libo Qiu, MD"
"Madiha Rabbani, MD"
"Elaine J Rabin, MD"
"Florian Radu, DO"
"Asif M Rahman, MD"
"Naomi Ramer, DDS"
"Ajit Rao, MD"
Clinically Integrated Network Member
"Bianca Redhead, MD"
"Michael A Redlener, MD"
"Nicolette Reese, MD"
"Tahreem Rehman, MD"
"Ryan Renacci, MD"
"Madeline Renny, MD"
"Kestrel Reopelle, MD"
"Christopher Reverte, MD"
"Alexandra Reynolds, MD"
"Christopher G Richardson, MD"
"Lynne D Richardson, MD"
"Timothy E Richardson, DO"
"Max Rippe, MD"
"Robin D Roberts, MD"
"(718) 252-3000    |    3201 Kings Highway, Brooklyn, NY 11234    |     9.74 miles"
"Carol E Rodriguez, MD"
"Cesar Rodriguez-Valdes, MD"
"Jeremy M Rose, MD"
"Blake D Rosenthal, MD"
"Adam C Rothman, MD"
"Joel R Rowe, MD"
"John Rozehnal, MD"
"Elizabeth J Rubano, MD"
"Glenn A Rudner, MD"
"Steven Rudolph, MD"
"Phillip Ruiz, MD"
"Andrin Sadikaj, MD"
"Louis Saffran, MD"
"Ankit Sakhuja, MBBS"
"Christian Salib, MD"
"James S Salonia, MD"
"Reza N Samad, MD"
"Barbara A Sampson, MD"
"Jennifer E Sanders, MD"
"Christine Saracino, DO"
"Umut Sarpel, MD"
"Nidhish Sasi, MD"
"Jodi Sassoon, MD"
"Turandot Saul, MD"
"Rollin Say, MD"
"Regina Saylor, MD"
"Hani Sbitany, MD"
"Jonathan Schimmel, MD"
"Jan F Schuetz-Mueller, MD"
"Mirela N Schwartz, MD"
"Monica Sethi, MD"
"Anuj Shah, MD"
"Anupama S Shah, MD"
"Ujas H Shah, MD"
"Ahmed Shaikh, MD"
"Gururaj Shan, MD"
"Janet M Shapiro, MD"
"Matthew S Shapiro, MD"
"Abdelsalam Sharabi, MD"
"Siri Shastry, MD"
"Peter L Shearer, MD"
"Huma U Sheikh, MD"
"Aarti Shenoy, MD"
"Danny Sherwinter, MD"
"Tomoyoshi Shigematsu, MD"
"Edward Shlasko, MD"
"Hazem M Shoirah, MD"
"Dave R Shukla, MD"
"Vladimir B Shur, MD"
"Vannita Simma-Chiang, MD"
"David H Simon, DPM"
"Elizabeth K Singer, MD"
"Anjali Singh, MD"
"Kamaljeet Singh, MD"
"Rani D Sittol, MD"
"Phillip Smith, MD"
"Christopher J Smolock, MD"
"Laili Soleimani, MD"
"Rachel Solnick, MD"
"Samuel E Sondheim, MD"
"Krishnasamy Soundararajan, MD"
"(718) 252-3000    |    3201 Kings Highway, Brooklyn, NY 11234    |     9.74 miles"
"Sophia Spadafore, MD"
"Gary Spektor, MD"
"Louis Spina, MD"
"Westley J Spiro, MD"
"Jonathan Spitz, MD"
"Richard S Stark, MD"
"Randolph M Steinhagen, MD"
"Ashley Sterchele, MD"
"Nicholas Stevens, MD"
"Isaac E Stillman, MD"
"Aryeh Stock, MD"
"Bess M Storch, MD"
"Matthew Straight, MD"
"Christopher G Strother, MD"
"Judah J Sueker, MD"
"Hassan Suleiman, MD"
"Rachel Sullivan, MD"
"Steven Sultan, MD"
"Brian D Sumner, MD"
"Jihong Sun, MD"
"Ramona Sunderwirth-Bailly, MD"
"Patricia Sylla, MD"
"Georgios Syros, MD"
"Arnold H Szporn, MD"
"John Tackett, MD"
"Rami O Tadros, MD"
"Che- YU J Tai, MD"
"Susan M Talbert, MD"
"Pranai Tandon, MD"
"Ryan E Tansek, MD"
"Peter J Taub, MD"
"Aida Taye, MD"
"Shameeke Taylor, MD"
"Rahul N Thakker, MD"
"Janvi Thampi, MD"
"Santiago M Thibaud, MD"
"Paul A Thodiyil, MD"
"Deepti Thomas-Paulose, MD"
"Frederick L Thum, MD"
"Swan N Thung, MD"
Clinically Integrated Network Member
"Jess Ting, MD"
"Windsor Ting, MD"
"Daryl Tiong, MD"
"Lindsay Tishberg, MD"
"George J Todd, MD"
"Julia R Tokarski, MD"
"Somone Tomasi, MD"
"Philip J Torina, MD"
"Ann Tran, MD"
"Christopher J Tricarico, MD"
"Shefali Trivedi, MD"
"Catherine Tsai, MD"
"Ashley T Tsang, MD"
"Nadejda M Tsankova, MD"
"James W Tsung, MD"
"Gerard Turano, MD"
"Robin Ulep, MBBS"
"Melissa Umphlett, MD"
"Tayler A Van Denakker, MD"
"Peter C Vangronigen, MD"
"Lara Vanyo, MD"
"John Vaszari, MD"
"Brandon Veremis, DDS"
"Meenakshi V Vij, MBBS"
"Georgios Voloudakis, MD"
"Nico Volz, MD"
"Kaitlyn R Votta, MD"
"Ageliki G Vouyouka, MD"
"Jamie M Walker, MD"
"Harry Wanar, MD"
"Chang Wang, MD"
"Richard Wang, MD"
"Xintong Wang, MD"
"Stephen C Ward, MD"
"(718) 252-3000    |    3201 Kings Highway, Brooklyn, NY 11234    |     9.74 miles"
"Raymond V Wedderburn, MD"
"Paul K Wein, MD"
"Naomi Weiss-Goldman, MD"
"Christina R Weltz, MD"
"Chase Westra, MD"
"William H Westra, MD"
"(718) 252-3000    |    3201 Kings Highway, Brooklyn, NY 11234    |     9.74 miles"
"Van Don Williams, MD"
"Alan Wong, DO"
"Gary K Wong, MD"
"Tommy Y Wong, MD"
"Benjamin Wyler, MD"
"Ambika Yadav, MBBS"
"Diana H Yan, MD"
"Alice S Yao, MD"
"Elizabeth Yetter, MD"
"Jeremy Ying, MD"
"James Youssef, MD"
"Ismail Zahir, MD"
"Julia Zakhaleva, MD"
"Maureen F Zakowski, MD"
"Debra R Zane, MD"
"Nathan I Zapolsky, MD"
"Osama Zaytoun, MD"
"Michael J Zeidman, MD"
"Nebras Zeizafoun, MD"
"Jennifer Zeng, MD"
"Linda P Zhang, MD"
"(718) 252-3000    |    3201 Kings Highway, Brooklyn, NY 11234    |     9.74 miles"
"Lauren E Zinns, MD"
"Yasmina Zoghbi, MD"
"Gabriele DiLuozzo, MD"
"John D Puskas, MD"
(Commercial) Clinical Integrated Network
"Virgil Hatcher, MD"
"Virgil Hatcher, MD"
"Jeffrey M Weinberg, MD"
"Saad B Chaudhary, MD"
"Jonathan C Gordon, MD"
"Ilya Iofin, MD"
"Calin S Moucha, MD"
"Jay J Agarwal, MD"
"Robin M Brody, MD"
"Hollin E Calloway, MD"
"Won-Taek Choe, MD"
"David A Forsh, MD"
"Steven M Gold, MD"
"Ilya Iofin, MD"
"Ofer Jacobowitz, MD"
"Jonathan A Lesserson, MD"
"Sima Mithani, MD"
"Jared M Wasserman, MD"
"Maylene Xie, MD"
"Virgil Hatcher, MD"
"Haleh Milani, MD"
"Jeffrey M Weinberg, MD"
"Michael Alleva, MD"
"Andrew L Blank, MD"
"Soha N Ghossaini, MD"
"Roni M Keller, MD"
"Bora V Kim, DO"
"Tamekia L Wakefield, MD"
"Jason Wasserman, MD"
"Michele Burgess, MD"
"Margot Chima, MD"
"Irine Corst, MD"
"Robert L Finney, MD"
"Hasan Khosravi, MD"
"Charlotte S Noorollah, DO"
"Andrea N Persaud, MD"
"Lauren Strazzulla, MD"
"Henry D Wu, MD"
"Alan F Cohen, MD"
"Joseph G Feghali, MD"
"Harrison J Glassman, MD"
"Steven I Goldstein, MD"
"Alyssa M Hackett, MD"
"Sung Y Kim, MD"
"Dahlia S Landa, MD"
"Simeon A Lauer, MD"
"David S Lee, MD"
"John P Naughton, MD"
"Randall P Owen, MD"
"Umut Sarpel, MD"
"Jonathan C Smith, MD"
"(718) 863-4366    |    1200 Waters Place, Suite 110, Bronx, NY 10461    |    10.29 miles"
"Steven M Berman, MD"
"Mark Stein, MD"
"Nelson Alcaraz, MD"
"Niha Qamar, MD"
"Kamran Sadrazodi, MD"
"Para Ahilan, MD"
"Dileep Aiyagari, MD"
"Teresa Attina, MD"
"Roopa Avula, MD"
"Cindy Baseluos, MD"
"Akiva Bergman, MD"
"Erik Blutinger, MD"
"Morgan S Bowling, DO"
"Suven Cooper, MD"
"Christopher J Counts, MD"
"Gabriele DiLuozzo, MD"
"Ali Elnatour, DO"
"Louis Emmer, MD"
"Gregory Fernandez, MD"
"Bhavesh D Gala, MD"
"Victor Gonzalez-Venegas, MD"
"Rosy Hao, MD"
"Brett Hayden, MD"
"Johnathon C LeBaron, DO"
"Publius Martins, MD"
"Sunil A Patel, MD"
"Sunil H Patel, MD"
"Yevgeny Perepada, MD"
"Matthew Pius, MD"
"Bahar Pourshariati, MD"
"John D Puskas, MD"
"Michael A Sicat, MD"
"Charles F Sineri, DO"
"Borys Slep, MD"
"Philip A Sosa, DO"
"Matthew Thomas, MD"
"Daryl Tiong, MD"
"Nidhi M Varughese, MD"
"Priyan Wickremesinghe, MD"
"Constantine Yiachos, MD"
"Glen O Loria, MD"
"Integrated Network, Empire (Commercial/Medicare) Clinical Integrated "
"Robert L Finney, MD"
"Lauren Strazzulla, MD"
"Yuliya Giyaur, MD"
"Inna Gordin, MD"
"Matthew Abramson, MD"
"Sumayya Ahmad, MD"
"Abdo Balikcioglu, MD"
"Don B Bandari, MD"
"Priti Batta, MD"
"Vivien Boniuk, MD"
"Nisha Chadha, MD"
"Daniel E Charnoff, MD"
"Ailian Chen, MD"
"Masako Chen, MD"
"Christina Cherny, OD"
"Mary Abigail Craven, MD"
"Kristina M Creadore, OD"
"Avnish Deobhakta, MD"
"Nisha Dhawlikar, MD"
"Alberto Distefano, MD"
"Alan Ditchek, MD"
"Monica M Dweck, MD"
"Valerie I Elmalem, MD"
"Julia M Fallon, MD"
"Artur Filipowicz, DO"
"Rochelle E Fleisher, OD"
"Tamiesha Frempong, MD"
"Donna J Gagliuso, MD"
"Robin N Ginsburg, MD"
"(718) 375-6933    |    1630 East 15th Street, Suite 203, Brooklyn, NY 11229    |    10.62 miles"
"Anita Gupta, MD"
"Meenakashi Gupta, MD"
"David J Harris, MD"
"Tsontcho Ianchulev, MD"
"Andrew Jin, MD"
"Gautam Kamthan, MD"
"(718) 375-6933    |    1630 East 15th Street, Suite 203, Brooklyn, NY 11229    |    10.62 miles"
"Yogita K Kashyap, MD"
"Merab Krikhely, MD"
"Gennady B Landa, MD"
"Jonathan N Lazare, MD"
"Rachel Lee, MD"
"Gareth Lema, MD"
"(718) 375-6933    |    1630 East 15th Street, Suite 203, Brooklyn, NY 11229    |    10.62 miles"
"Yafeng Li, MD"
"Kira Manusis, MD"
"Trisha Mor, MD"
"Michael Park, MD"
"Louis R Pasquale, MD"
"Neal S Patel, MD"
"Varun Pawar, MD"
"Thomas Quehl, MD"
"Edward L Raab, MD"
"Nathan M Radcliffe, MD"
"Harsha S Reddy, MD"
"Radames V Rios-Gonzalez, MD"
"Richard B Rosen, MD"
"Jason R Rubinov, MD"
"UMR Top Tier, UMR Top Tier, United (Commercial) Clinical Integrate"
"Ekaterina Semenova, MD"
"Joshua N Shatzkes, MD"
"Danny Sherwinter, MD"
"Alfred Shtainer, MD"
"Paul A Sidoti, MD"
"Roland Theodore Smith, MD"
Clinical Integrated Network
"Tak Yee T Tai, MD"
"Leannza Tang, OD"
"James C Tsai, MD"
"Kateki Vinod, MD"
"Ageliki G Vouyouka, MD"
"Angie E Wen, MD"
"(718) 375-6933    |    1630 East 15th Street, Suite 203, Brooklyn, NY 11229    |    10.62 miles"
"Carl Wilkins, MD"
"Sze H Wong, MD"
"Julia Zakhaleva, MD"
"Michael J Zeidman, MD"
"Teddy Efkarpides, DPM"
"Qazi K Haider, MD"
(Commercial) Clinical Integrated Network
"Rohail Haider, DO"
"Prakash Krishnan, MD"
"Rajeev Srivastava, MD"
"Andrea S Wolf, MD"
"Para Ahilan, MD"
"George J Ayyad, MD"
"Srinivas Duvvuri, MD"
"John Flanagan, MD"
"Bhavesh D Gala, MD"
"Joseph Gomes, MD"
"Eliyahu S Kopstick, DO"
"Sunil A Patel, MD"
"Sunil H Patel, MD"
"Michael A Sicat, MD"
"Charles F Sineri, DO"
"Mohit K Turagam, MD"
"Anna J Ross, OD"
"Tier, United (Commercial) Clinical Integrated Network"
"Anthony J Terraciano, MD"
"Todd R Coven, MD"
"Stewart A Levine, MD"
"Xuan Wang, MD"
"Network, Emblem Health (HIP Commerical and Medicare) Clinical "
"Jordan S Zuckerman, MD"
"Para Ahilan, MD"
"Akiva Bergman, MD"
"Srinivas Duvvuri, MD"
"Bhavesh D Gala, MD"
"Eliyahu S Kopstick, DO"
"Sunil A Patel, MD"
"Michael A Sicat, MD"
"Jess Ting, MD"
"Margot Chima, MD"
"Robert L Finney, MD"
"Medicare) Clinical Integrated Network, Emblem (GHI Medicare) "
"Hasan Khosravi, MD"
"Emanuel L Kouroupos, MD"
"Andrea N Persaud, MD"
"Lauren Strazzulla, MD"
"Lance I Austein, MD"
"Lucia V Avany, MD"
"Alexander Bulanov, DO"
"James G Chelnis, MD"
"William A Cook, MD"
"Ume Farwa, MD"
"Alexander Gimpelevich, DO"
"Ardeshir Hakami-Kermani, MD"
"Henry J Hasson, MD"
"Lewis Kaufman, MD"
Clinical Integrated Network
"Mariam Khandaker, MD"
"Marina Kremyanskaya, MD"
"Eric J Ledermann, DO"
"Dina Liberman, MD"
